DEPT,ECGR,ATRX,ATRT,NPHI,CAL1,HDAR,HROM,DTSM,DTCO
710.5,-999.25,0.7102,0.8202,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
711,-999.25,0.68,0.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
711.5,-999.25,0.69,0.81,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
712,-999.25,0.73,0.89,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
712.5,-999.25,0.79,0.91,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
713,-999.25,0.8,0.96,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
713.5,-999.25,0.87,0.99,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
714,-999.25,0.93,1.03,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
714.5,-999.25,0.92,1.01,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
715,-999.25,0.92,1.05,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
715.5,-999.25,0.88,1.03,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
716,-999.25,0.8581,0.9784,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
716.5,-999.25,0.75,0.89,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
717,-999.25,0.75,0.91,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
717.5,-999.25,0.84,0.98,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
718,-999.25,0.762,0.8917,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
718.5,-999.25,0.84,0.9601,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
719,-999.25,0.78,0.91,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
719.5,-999.25,0.78,0.91,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
720,-999.25,0.6894,0.7918,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
720.5,-999.25,0.64,0.78,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
721,-999.25,0.66,0.77,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
721.5,-999.25,0.66,0.77,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
722,-999.25,0.68,0.8,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
722.5,-999.25,0.7,0.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
723,-999.25,0.6604,0.81,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
723.5,-999.25,0.6799,0.8099,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
724,-999.25,0.69,0.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
724.5,-999.25,0.68,0.77,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
725,-999.25,0.6805,0.7803,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
725.5,-999.25,0.7001,0.7901,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
726,-999.25,0.74,0.83,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
